Table 5. Space Economy Gross Output by Industry,,,,,,,,,,,,,
[Millions of current dollars],,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,
"Last updated: March 31, 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
 , ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Space economy1,"189,438","195,060","198,159","205,244","204,806","207,911","209,100","216,523","209,460","214,301","234,618","240,891"
2,    Private industries,"160,095","165,699","167,839","173,895","172,726","175,789","175,153","178,698","171,021","173,993","190,221","192,397"
3,"        Agriculture, forestry, fishing, and hunting",…,…,…,…,…,…,…,…,…,…,…,…
4,            Farms,…,…,…,…,…,…,…,…,…,…,…,…
5,"            Forestry, fishing, and related activities",…,…,…,…,…,…,…,…,…,…,…,…
6,        Mining,67,51,65,57,33,13,6,7,3,3,3,3
7,            Oil and gas extraction,50,38,48,41,23,9,4,5,2,2,2,2
8,"            Mining, except oil and gas",0,0,0,1,1,1,0,0,0,0,0,0
9,            Support activities for mining,17,13,17,15,9,3,2,2,1,1,1,1
10,        Utilities,2,1,1,3,3,3,2,2,2,2,2,2
11,        Construction,347,325,488,592,632,913,569,"1,802","1,618",995,"1,375","1,532"
12,        Manufacturing,"56,382","56,773","54,426","53,404","51,639","50,217","50,876","55,523","52,319","52,479","57,260","59,869"
13,            Durable goods,"55,583","55,914","53,610","53,065","51,249","49,848","50,516","55,226","52,050","52,172","56,870","59,480"
14,                Wood products,30,15,25,6,6,5,6,5,4,11,7,7
15,                Nonmetallic mineral products,84,95,99,39,40,39,41,37,35,36,41,41
16,                Primary metals,70,72,111,88,61,60,49,41,44,49,61,60
17,                Fabricated metal products,340,566,421,470,420,364,254,241,237,312,339,343
18,                Machinery,"1,159","1,102","1,035",627,639,636,671,629,587,711,801,805
19,                Computer and electronic products2,"32,473","32,261","29,001","29,583","30,154","28,613","29,146","30,138","28,754","29,047","30,323","30,062"
20,"                Electrical equipment, appliances, and components",776,889,902,766,815,742,791,722,613,634,731,755
21,"                Motor vehicles, bodies and trailers, and parts",3,3,3,2,2,2,1,1,1,1,2,1
22,                Other transportation equipment3,"19,867","19,882","21,064","21,022","18,636","18,879","19,016","22,918","21,342","20,832","23,875","26,716"
23,                Furniture and related products,23,27,26,14,12,13,12,10,11,10,12,12
24,                Miscellaneous manufacturing,758,"1,002",923,449,464,496,529,483,421,527,679,678
25,            Nondurable goods,800,858,816,339,390,369,360,296,269,308,390,388
26,                Food and beverage and tobacco products,300,402,409,175,176,164,164,125,132,150,202,201
27,                Textile mills and textile product mills,20,26,23,12,19,15,16,12,10,11,15,15
28,                Apparel and leather and allied products,16,21,19,10,16,13,14,10,8,9,12,12
29,                Paper products,22,66,50,25,27,39,28,27,20,28,29,29
30,                Printing and related support activities,43,38,32,10,10,7,8,11,7,6,5,5
31,                Petroleum and coal products,57,17,16,6,12,9,38,31,27,23,24,24
32,                Chemical products,135,33,27,22,15,11,10,9,7,8,9,9
33,                Plastics and rubber products,207,256,240,78,115,111,82,71,58,73,93,93
34,        Wholesale trade,"30,469","32,308","34,226","38,436","40,486","44,876","47,107","44,013","44,359","49,151","54,917","54,183"
35,        Retail trade,270,334,342,417,558,473,552,746,513,776,766,849
36,            Motor vehicle and parts dealers,1,1,1,1,1,0,0,1,1,1,1,1
37,            Food and beverage stores,1,1,1,1,1,1,1,2,1,2,2,2
38,            General merchandise stores,38,45,48,54,75,65,76,105,77,103,110,123
39,            Other retail,231,286,292,361,481,407,474,638,434,670,653,724
