Table 2. Space Economy Value Added by Industry,,,,,,,,,,,,,
[Millions of current dollars],,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,
"Last updated: March 31, 2025",,,,,,,,,,,,,
,,,,,,,,,,,,,
 , ,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Space economy1,"110,992","118,492","116,827","123,034","122,521","122,183","121,296","128,189","124,239","125,219","134,077","142,526"
2,    Private industries,"90,312","97,511","95,054","100,521","99,501","98,699","96,277","100,522","96,800","97,034","102,731","106,924"
3,"        Agriculture, forestry, fishing, and hunting",…,…,…,…,…,…,…,…,…,…,…,…
4,            Farms,…,…,…,…,…,…,…,…,…,…,…,…
5,"            Forestry, fishing, and related activities",…,…,…,…,…,…,…,…,…,…,…,…
6,        Mining,50,39,50,45,25,10,4,6,2,2,2,2
7,            Oil and gas extraction,37,29,37,32,18,6,3,4,1,2,1,1
8,"            Mining, except oil and gas",0,0,0,1,1,1,0,0,0,0,0,0
9,            Support activities for mining,13,10,13,12,7,3,1,2,1,1,1,1
10,        Utilities,1,1,1,2,2,2,2,1,1,2,2,1
11,        Construction,229,212,316,383,392,585,372,"1,152",992,617,842,943
12,        Manufacturing,"34,461","36,744","34,351","33,630","33,706","32,514","32,100","34,946","32,618","34,186","34,427","35,345"
13,            Durable goods,"34,033","36,246","33,866","33,418","33,470","32,295","31,877","34,765","32,440","33,985","34,172","35,090"
14,                Wood products,20,12,19,5,5,4,5,4,3,8,6,6
15,                Nonmetallic mineral products,51,60,64,27,28,27,29,26,26,26,29,29
16,                Primary metals,47,51,80,69,48,45,36,31,35,37,44,43
17,                Fabricated metal products,243,419,314,360,314,266,188,179,182,239,261,265
18,                Machinery,779,753,707,429,422,402,424,398,379,452,514,522
19,                Computer and electronic products2,"21,899","22,602","20,089","19,869","21,871","21,708","20,775","20,452","19,152","20,759","20,685","20,361"
20,"                Electrical equipment, appliances, and components",635,754,757,663,701,622,654,603,522,527,603,628
21,"                Motor vehicles, bodies and trailers, and parts",2,2,2,2,2,2,1,1,1,1,2,1
22,                Other transportation equipment3,"9,798","10,838","11,135","11,641","9,720","8,848","9,366","12,704","11,802","11,523","11,498","12,699"
23,                Furniture and related products,16,21,20,11,9,10,9,8,9,8,9,9
24,                Miscellaneous manufacturing,543,734,679,342,350,363,391,359,328,406,521,525
25,            Nondurable goods,427,498,485,211,236,218,223,181,178,200,255,256
26,                Food and beverage and tobacco products,211,291,298,131,131,118,120,91,101,113,153,154
27,                Textile mills and textile product mills,8,12,11,6,9,7,8,6,5,5,7,7
28,                Apparel and leather and allied products,2,6,6,3,5,4,4,3,3,3,4,4
29,                Paper products,9,34,27,14,17,24,18,17,13,18,19,19
30,                Printing and related support activities,3,2,2,1,1,1,1,1,1,1,1,1
31,                Petroleum and coal products,43,13,12,5,9,7,29,23,21,18,19,19
32,                Chemical products,50,13,12,11,7,6,5,5,5,5,6,5
33,                Plastics and rubber products,102,126,117,39,57,52,39,34,29,36,46,46
34,        Wholesale trade,"16,804","17,443","17,997","20,548","21,122","21,736","22,086","21,546","23,218","22,996","26,000","27,134"
35,        Retail trade,190,244,256,321,437,379,438,591,387,587,565,637
36,            Motor vehicle and parts dealers,1,1,1,1,1,0,0,0,1,1,1,1
37,            Food and beverage stores,1,1,1,1,1,1,1,1,1,1,1,1
38,            General merchandise stores,24,28,30,34,48,42,49,70,51,68,73,82
39,            Other retail,165,214,225,286,387,335,387,519,335,517,490,553
40,        Transportation and warehousing,833,751,686,708,754,729,883,746,681,694,"1,239","1,280"
