Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                    Housing,,,,,,,,,,,,
                    Other real estate,,,,,,,,,,,,
                Accommodation,,,,,,,,,,,,
                Administrative and support services,,26.0,41.0,27.5,33.5,40.0,36.0,37.0,38.5,40.5,49.5,58.0
                Ambulatory health care services,,,,,,,,,,,,
"                Amusements, gambling, and recreation industries",,,,,,,,,,,,
                Apparel and leather and allied products,,,,,,,,,,,,
                Chemical products,,,,,,,,,,,,
                Computer systems design and related services,101.0,95.0,107.66666666666667,101.75,104.25,118.0,119.5,131.25,136.25,148.2,162.4,183.5
"                Electrical equipment, appliances, and components",76.0,88.66666666666667,86.66666666666667,110.5,80.0,108.5,79.33333333333333,106.5,92.0,91.5,101.5,103.5
                Fabricated metal products,93.0,78.0,60.0,70.5,66.5,54.0,75.0,72.0,72.0,93.0,98.0,103.0
"                Federal Reserve banks, credit intermediation, and related activities",,,,,,,,,,,,
                Food and beverage and tobacco products,36.0,48.0,51.0,,,,,,,,,
                Food services and drinking places,,,,,,,,,,,,
"                Funds, trusts, and other financial vehicles",,,,,,,,,,,,
                Furniture and related products,,,,,,,,,,,,
                Hospitals,45.0,46.0,40.0,46.0,48.0,51.0,61.0,49.0,,54.0,84.5,58.0
                Insurance carriers and related activities,113.0,63.0,,65.0,70.0,,,,,,60.0,67.0
                Legal services,,,,,,,,,,,,
                Machinery,81.25,79.75,76.0,100.5,102.0,102.0,110.5,109.5,102.0,116.5,84.0,88.33333333333333
                Miscellaneous manufacturing,78.33333333333333,73.5,96.0,72.5,78.5,86.0,91.5,87.0,77.5,97.0,121.0,122.0
"                Motor vehicles, bodies and trailers, and parts",,,,,,,,,,,,
                Nonmetallic mineral products,,,,,,,,,,,,
                Nursing and residential care facilities,,,,,,,,,,,,
                Paper products,,,,,,,,,,,,
"                Performing arts, spectator sports, museums, and related activities",39.0,44.0,48.0,45.0,52.0,55.0,58.0,60.0,71.0,55.0,56.0,68.0
                Petroleum and coal products,,,,,,,,,,,,
                Plastics and rubber products,39.0,48.0,46.0,,,,,,,,,
                Primary metals,,,,,,,,,,,,
                Printing and related support activities,,,,,,,,,,,,
                Real estate,,,,,,,,,,,,
                Rental and leasing services and lessors of intangible assets,,,,,,,,,,,,
"                Securities, commodity contracts, and investments",,,,,,,,,,,,
                Social assistance,,,,,,,,,,,,
                Textile mills and textile product mills,,,,,,,,,,,,
                Waste management and remediation services,,,,,,,,,,,,
                Wood products,,,,,,,,,,,,
            Accommodation and food services,,,,,,,,,,,,
            Administrative and waste management services,,26.0,41.0,27.5,34.0,40.0,36.0,37.5,38.5,40.5,49.5,58.0
            Air transportation,100.5,82.5,125.0,137.0,147.0,125.0,91.0,112.0,163.0,92.0,121.5,152.5
"            Arts, entertainment, and recreation",39.0,44.0,48.0,46.0,52.0,56.0,59.0,60.0,71.0,55.0,56.0,68.0
"            Data processing, internet publishing, and other information services",97.5,116.5,121.0,147.5,164.0,178.0,173.0,184.0,175.5,188.0,205.5,230.0
            Finance and insurance,118.0,69.0,,73.0,83.0,74.0,,,,,74.0,81.0
            Food and beverage stores,,,,,,,,,,,,
            General merchandise stores,,17.0,18.0,20.0,29.0,24.0,28.0,40.0,29.0,39.0,41.0,45.0
            Health care and social assistance,46.0,47.0,41.0,47.0,51.0,53.0,63.0,51.0,,56.0,86.0,61.0
            Management of companies and enterprises,109.0,116.0,81.0,105.0,165.0,143.0,113.0,127.0,105.0,108.0,115.0,132.0
"            Mining, except oil and gas",,,,,,,,,,,,
            Motion picture and sound recording industries,,,,,,,,,,,,
            Motor vehicle and parts dealers,,,,,,,,,,,,
            Nondurable goods,69.5,72.5,70.5,61.0,72.0,70.0,64.0,54.0,49.0,55.0,70.0,72.0
            Oil and gas extraction,,,,,,,,,,,,
            Other retail,30.333333333333332,41.666666666666664,45.333333333333336,43.25,47.0,51.25,48.2,53.5,46.5,60.4,51.6,53.8
            Other transportation and support activities,,,,,,,,,,,,
            Pipeline transportation,,,,,,,,,,,,
"            Publishing industries, except internet (includes software)",127.0,101.0,92.0,160.0,119.0,97.0,80.0,92.0,,120.0,125.0,156.0
            Rail transportation,,,,,,,,,,,,
            Real estate and rental and leasing,,,,,,,,,,,,
            Support activities for mining,,,,,,,,,,,,
            Transit and ground passenger transportation,,,,,,,,,,,,
            Truck transportation,62.333333333333336,63.333333333333336,63.666666666666664,60.666666666666664,62.0,68.0,73.66666666666667,74.66666666666667,76.0,80.33333333333333,75.0,93.0
            Warehousing and storage,,,,,,,,,,,,
            Water transportation,,,,,,,,,,,,
"        Arts, entertainment, recreation, accommodation, and food services",40.0,45.0,50.0,47.0,53.0,56.0,59.0,61.0,72.0,55.0,57.0,69.0
        Construction,122.0,100.0,170.0,212.0,214.0,161.0,209.0,325.5,270.5,169.0,152.33333333333334,254.0
"        Finance, insurance, real estate, rental, and leasing",118.0,69.0,,74.0,83.0,75.0,,,,,76.0,83.0
        Mining,,,,,,,,,,,,
"        Other services, except government",,,,,,,,,,,,
        Retail trade,35.666666666666664,35.75,38.75,48.5,44.166666666666664,46.0,45.0,51.57142857142857,43.4,57.0,50.0,52.666666666666664
        Utilities,,,,,,,,,,,,
