Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                    Housing,,,,,,,,,,,,
                    Other real estate,,,,,,,,,,,,
                Accommodation,,,,,,,,,,,,
                Administrative and support services,,inf,-51.06382978723405,66.19718309859155,-28.421052631578945,-14.754098360655732,9.999999999999998,-1.5873015873015817,7.8125,-7.6271186440677985,-22.047244094488192,-12.903225806451623
                Ambulatory health care services,,,,,,,,,,,,
"                Amusements, gambling, and recreation industries",,,,,,,,,,,,
                Apparel and leather and allied products,,,,,,,,,,,,
                Chemical products,,,,,,,,,,,,
                Computer systems design and related services,,3.672316384180796,-11.683168316831694,15.070921985815591,-5.847076461769118,25.0,-38.98016997167137,-6.190476190476191,-2.914798206278024,25.0,0.0,-19.999999999999996
"                Electrical equipment, appliances, and components",,-20.34120734908136,-3.053435114503822,-16.93121693121693,44.17721518987341,-22.089314194577355,45.82210242587601,-20.137990513152225,17.43666169895678,11.552346570397109,-8.571428571428562,1.3157894736842146
                Fabricated metal products,,35.69482288828338,27.363184079601986,-8.904109589041088,9.433962264150942,15.740740740740744,-17.03296703296703,6.5573770491803245,6.140350877192979,-26.16822429906542,-5.555555555555558,1.0526315789473717
"                Federal Reserve banks, credit intermediation, and related activities",,,,,,,,,,,,
                Food and beverage and tobacco products,,-32.50773993808049,0.4672897196261627,-41.78403755868545,,,,,,,,
                Food services and drinking places,,,,,,,,,,,,
"                Funds, trusts, and other financial vehicles",,,,,,,,,,,,
                Furniture and related products,,,,,,,,,,,,
                Hospitals,,-4.123711340206193,16.831683168316836,-14.28571428571428,-8.333333333333325,-2.8846153846153744,-14.953271028037385,19.512195121951216,-48.484848484848484,inf,-105.76923076923075,16.037735849056617
                Insurance carriers and related activities,,41.324200913242,-77.82101167315176,inf,-14.432989690721643,-71.47147147147147,,,,,inf,1.9379844961240345
                Legal services,,,,,,,,,,,,
                Machinery,,,,,-3.149606299212593,2.900763358778624,-2.358490566037741,7.5268817204301115,9.634551495016607,-18.198529411764696,40.35769828926905,1.9858156028368823
