Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                    Housing,,,,,,,,,,,,
                    Other real estate,,,,,,,,,,,,
                Accommodation,,,,,,,,,,,,
                Administrative and support services,,inf,-33.80281690140845,49.473684210526315,-22.13114754098361,-12.857142857142856,11.111111111111116,-1.5625,8.47457627118644,-7.0866141732283445,-18.06451612903226,-11.428571428571432
                Ambulatory health care services,,,,,,,,,,,,
"                Amusements, gambling, and recreation industries",,,,,,,,,,,,
                Apparel and leather and allied products,,,,,,,,,,,,
                Chemical products,,,,,,,,,,,,
                Computer systems design and related services,,5.148514851485153,-10.460992907801426,12.743628185907042,-5.524079320113318,25.0,-32.761904761904745,-5.829596412556059,-2.8322440087145906,25.0,0.0,-19.999999999999996
"                Electrical equipment, appliances, and components",,-16.902944383860408,-2.9629629629629672,-20.253164556962023,41.746411483253574,-24.887690925426774,43.984476067270386,-23.19920516641829,21.119133574007208,13.061224489795919,-7.894736842105255,1.333333333333342
                Fabricated metal products,,21.724709784411278,37.671232876712324,-8.176100628930804,10.416666666666675,18.681318681318682,-25.409836065573764,7.017543859649122,6.542056074766345,-20.740740740740737,-5.263157894736848,1.0638297872340496
"                Federal Reserve banks, credit intermediation, and related activities",,,,,,,,,,,,
                Food and beverage and tobacco products,,-24.532710280373827,0.46948356807510194,-100.0,,,,,,,,
                Food services and drinking places,,,,,,,,,,,,
"                Funds, trusts, and other financial vehicles",,,,,,,,,,,,
                Furniture and related products,,,,,,,,,,,,
                Hospitals,,-3.960396039603964,20.238095238095234,-12.5,-7.692307692307687,-2.8037383177569986,-13.008130081300816,24.242424242424242,-100.0,inf,-34.59119496855345,47.22222222222226
                Insurance carriers and related activities,,70.42801556420233,-100.0,inf,-12.612612612612606,-100.0,,,,,inf,1.976284584980248
                Legal services,,,,,,,,,,,,
                Machinery,,,,,-3.0534351145038108,2.9874213836478036,-2.304147465437789,8.139534883720945,10.661764705882359,-15.396578538102634,36.80851063829786,2.026049204052094
