Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                    Housing,,,,,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                    Other real estate,,inf,0.0,0.0,100.0,50.0,0.0,0.0,66.66666666666667,-19.999999999999996,0.0,0.0
                Accommodation,,33.33333333333333,0.0,0.0,-25.0,0.0,0.0,0.0,-33.333333333333336,0.0,100.0,25.0
                Administrative and support services,,113.63636363636363,51.06382978723405,33.80281690140845,28.421052631578945,14.754098360655732,-9.999999999999998,1.5873015873015817,-7.8125,7.6271186440677985,22.047244094488192,12.903225806451623
                Ambulatory health care services,,0.0,0.0,50.0,33.33333333333333,0.0,0.0,0.0,-25.0,33.33333333333333,25.0,-19.999999999999996
"                Amusements, gambling, and recreation industries",,,,,,,,,,,,
                Apparel and leather and allied products,,29.41176470588236,-9.090909090909093,-50.0,60.00000000000001,-18.75,0.0,-23.076923076923073,-30.000000000000004,14.28571428571428,37.5,-9.090909090909093
                Chemical products,,-72.3076923076923,-5.555555555555558,0.0,-23.529411764705888,-15.384615384615385,0.0,0.0,-18.181818181818176,22.222222222222232,9.090909090909083,0.0
                Computer systems design and related services,,-28.672316384180796,11.683168316831694,18.262411347517737,5.847076461769118,0.0,18.98016997167138,6.190476190476191,2.914798206278024,0.0,0.0,0.0
"                Electrical equipment, appliances, and components",,20.34120734908136,3.053435114503822,-16.402116402116405,5.822784810126591,-11.244019138755979,4.17789757412399,-13.19534282018111,-17.43666169895678,-11.552346570397109,8.571428571428562,-1.3157894736842146
                Fabricated metal products,,64.30517711171662,-27.363184079601986,8.904109589041088,-9.433962264150942,-15.740740740740744,-32.96703296703297,-6.5573770491803245,-6.140350877192979,26.16822429906542,5.555555555555558,-1.0526315789473717
"                Federal Reserve banks, credit intermediation, and related activities",,-8.333333333333337,-9.090909090909093,80.0,55.55555555555556,0.0,-32.14285714285714,-5.263157894736848,-5.555555555555558,58.823529411764696,-3.703703703703709,0.0
                Food and beverage and tobacco products,,32.50773993808049,-0.4672897196261627,-58.21596244131455,1.6853932584269593,-9.392265193370164,-3.658536585365857,-25.31645569620253,0.8474576271186418,10.924369747899165,30.303030303030297,-2.3255813953488413
                Food services and drinking places,,,,,,,,,,,,
"                Funds, trusts, and other financial vehicles",,-100.0,,,,,,,,,,
                Furniture and related products,,15.999999999999993,-6.896551724137934,-48.14814814814815,-14.28571428571429,8.333333333333325,-7.692307692307687,-16.666666666666664,0.0,-9.999999999999998,11.111111111111116,0.0
                Hospitals,,4.123711340206193,-16.831683168316836,14.28571428571428,8.333333333333325,2.8846153846153744,14.953271028037385,-19.512195121951216,-51.515151515151516,116.66666666666666,205.76923076923075,-66.03773584905662
