Industry,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
                    Housing,,,,,,,,,,,,
                    Other real estate,,,,,,,,,,,,
                Accommodation,,,,,,,,,,,,
                Administrative and support services,,,57.692307692307686,-32.92682926829268,21.818181818181827,19.402985074626855,-9.999999999999998,2.777777777777768,4.054054054054057,5.1948051948051965,22.222222222222232,17.17171717171717
                Ambulatory health care services,,,,,,,,,,,,
"                Amusements, gambling, and recreation industries",,,,,,,,,,,,
                Apparel and leather and allied products,,,,,,,,,,,,
                Chemical products,,,,,,,,,,,,
                Computer systems design and related services,,-5.940594059405946,13.33333333333333,-5.49535603715171,2.4570024570024662,13.18944844124701,1.2711864406779627,9.832635983263604,3.809523809523818,8.770642201834855,9.5816464237517,12.992610837438413
"                Electrical equipment, appliances, and components",,16.666666666666675,-2.2556390977443663,27.499999999999993,-27.601809954751133,35.62499999999999,-26.881720430107535,34.243697478991606,-13.6150234741784,-0.5434782608695676,10.92896174863387,1.9704433497536922
                Fabricated metal products,,-16.129032258064512,-23.076923076923073,17.500000000000004,-5.6737588652482245,-18.796992481203013,38.888888888888886,-4.0000000000000036,0.0,29.166666666666675,5.376344086021501,5.102040816326525
"                Federal Reserve banks, credit intermediation, and related activities",,,,,,,,,,,,
                Food and beverage and tobacco products,,33.33333333333333,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                Food services and drinking places,,,,,,,,,,,,
"                Funds, trusts, and other financial vehicles",,,,,,,,,,,,
                Furniture and related products,,,,,,,,,,,,
                Hospitals,,2.2222222222222143,-13.043478260869568,14.999999999999991,4.347826086956519,6.25,19.6078431372549,-19.672131147540984,0.0,10.20408163265305,56.48148148148149,-31.360946745562135
                Insurance carriers and related activities,,-44.24778761061947,0.0,3.1746031746031855,7.692307692307687,0.0,0.0,0.0,0.0,0.0,-14.28571428571429,11.66666666666667
                Legal services,,,,,,,,,,,,
                Machinery,,-1.8461538461538418,-4.702194357366773,32.236842105263165,1.4925373134328401,0.0,8.333333333333325,-0.9049773755656076,-6.849315068493156,14.215686274509798,-27.896995708154503,5.158730158730163
