,"    Space economy, private industries1","        Agriculture, forestry, fishing, and hunting",            Farms,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products2,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment3,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities,            Warehousing and storage,        Information,"            Publishing industries, except internet (includes software)",            Motion picture and sound recording industries,            Broadcasting and telecommunications4,"            Data processing, internet publishing, and other information services","        Finance, insurance, real estate, rental, and leasing",            Finance and insurance,"                Federal Reserve banks, credit intermediation, and related activities","                Securities, commodity contracts, and investments",                Insurance carriers and related activities,"                Funds, trusts, and other financial vehicles",            Real estate and rental and leasing,                Real estate,                    Housing,                    Other real estate,                Rental and leasing services and lessors of intangible assets,        Professional and business services,"            Professional, scientific, and technical services",                Legal services,                Computer systems design and related services,"                Miscellaneous professional, scientific, and technical services",            Management of companies and enterprises,            Administrative and waste management services,                Administrative and support services,                Waste management and remediation services,"        Educational services, health care, and social assistance",            Educational services,            Health care and social assistance,                Ambulatory health care services,                Hospitals,                Nursing and residential care facilities,                Social assistance,"        Arts, entertainment, recreation, accommodation, and food services","            Arts, entertainment, and recreation","                Performing arts, spectator sports, museums, and related activities","                Amusements, gambling, and recreation industries",            Accommodation and food services,                Accommodation,                Food services and drinking places,"        Other services, except government"
2012,44438,â€¦,â€¦,â€¦,10,5,0,5,0,122,19435,19296,6,21,9,93,325,10136,228,0,8235,6,235,139,36,5,8,4,13,2,32,39,7708,107,0,0,15,91,401,201,1,0,187,0,0,10,1,10347,127,11,10014,195,118,118,3,2,113,0,0,0,0,0,0,4987,4866,0,404,4462,109,12,12,0,1161,1115,46,1,45,0,0,40,39,39,0,1,1,0,2
2013,45211,â€¦,â€¦,â€¦,8,4,0,4,0,100,19334,19188,3,23,10,156,319,9636,266,0,8473,7,294,145,48,7,10,11,12,1,9,48,7612,143,0,1,17,125,364,165,0,0,190,0,0,7,1,11018,101,12,10672,233,69,69,3,2,63,0,0,0,0,0,0,5372,5229,0,285,4944,116,26,26,0,1145,1097,47,1,46,0,0,45,44,44,0,1,1,0,2
2014,45941,â€¦,â€¦,â€¦,9,5,0,4,0,170,19184,19043,5,24,18,120,304,9265,260,0,8752,6,288,141,51,6,9,9,10,1,8,46,7667,155,0,0,18,136,322,125,1,0,191,0,0,4,1,11688,92,12,11341,242,51,50,3,3,45,0,0,0,0,0,0,5490,5368,0,323,5045,81,41,41,0,1156,1115,41,1,40,0,0,50,48,48,0,1,1,0,2
2015,48237,â€¦,â€¦,â€¦,11,7,0,4,1,212,19837,19776,1,10,16,141,201,9599,221,0,9439,4,145,61,22,3,5,5,3,0,7,15,8402,194,0,0,20,173,323,137,1,0,182,0,0,3,1,11789,160,11,11323,295,74,73,5,4,65,0,1,0,0,0,0,6133,5973,1,407,5565,105,55,55,0,1214,1167,47,1,46,0,0,47,46,45,0,1,1,0,2
2016,47959,â€¦,â€¦,â€¦,7,4,0,3,1,214,20098,20026,1,10,11,133,204,11278,240,0,7989,3,157,72,22,5,8,5,3,1,5,23,8676,265,0,1,29,235,345,147,1,0,186,0,0,9,1,11116,119,10,10658,328,83,83,7,5,70,0,1,0,0,0,1,5869,5636,1,417,5219,165,68,67,0,1229,1179,51,2,48,0,0,53,52,52,0,1,1,0,2
2017,49104,â€¦,â€¦,â€¦,2,1,0,1,1,322,20303,20233,1,10,10,108,204,12176,217,0,7332,4,172,70,22,4,7,8,2,0,4,23,9262,230,0,0,24,205,338,125,1,0,204,0,0,6,2,11366,97,12,10901,356,75,74,7,18,49,0,1,1,0,1,1,5934,5711,1,590,5121,143,80,80,0,1213,1160,53,2,51,0,0,56,56,55,0,1,1,0,2
2018,48686,â€¦,â€¦,â€¦,1,0,0,0,0,209,20531,20467,1,10,8,75,221,12004,238,0,7724,4,183,64,23,4,7,5,2,2,3,16,9415,270,0,1,28,241,412,182,1,0,221,0,0,5,2,10665,80,10,10230,346,53,51,5,4,42,0,1,1,0,1,1,5625,5440,1,478,4961,113,72,72,0,1442,1379,63,2,61,0,0,59,59,58,0,1,1,0,2
2019,52606,â€¦,â€¦,â€¦,1,0,0,1,0,651,23972,23917,1,9,7,72,219,12701,213,0,10517,3,174,54,17,3,5,5,4,1,3,15,9058,361,0,1,40,321,358,112,1,0,224,0,0,19,2,10596,92,13,10123,368,45,44,5,4,35,0,2,1,0,1,1,5899,5697,1,525,5172,127,75,74,0,1601,1550,51,2,49,0,0,61,60,60,0,1,1,0,2
2020,51661,â€¦,â€¦,â€¦,1,0,0,0,0,541,23243,23194,1,9,8,72,204,12948,184,0,9609,3,155,49,19,3,4,4,2,2,3,13,9219,217,0,1,29,186,410,163,1,0,228,0,0,15,1,10231,98,9,9773,351,35,33,5,5,24,0,2,1,0,1,1,5777,5595,1,545,5049,105,77,77,0,1914,1886,27,2,25,0,0,72,71,71,0,1,1,0,3
2021,52655,â€¦,â€¦,â€¦,0,0,0,0,0,338,24035,23979,2,9,7,93,233,13670,183,0,9585,3,194,55,21,3,5,5,2,1,3,15,9442,342,0,1,39,302,346,92,1,0,241,0,0,9,2,9744,120,11,9237,376,41,39,9,6,25,0,2,1,0,1,1,6399,6210,1,741,5468,108,81,81,0,1909,1853,56,2,54,0,0,55,55,55,0,1,1,0,3
