,"    Space economy, private industries1","        Agriculture, forestry, fishing, and hunting",            Farms,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products2,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment3,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities,            Warehousing and storage,        Information,"            Publishing industries, except internet (includes software)",            Motion picture and sound recording industries,            Broadcasting and telecommunications4,"            Data processing, internet publishing, and other information services","        Finance, insurance, real estate, rental, and leasing",            Finance and insurance,"                Federal Reserve banks, credit intermediation, and related activities","                Securities, commodity contracts, and investments",                Insurance carriers and related activities,"                Funds, trusts, and other financial vehicles",            Real estate and rental and leasing,                Real estate,                    Housing,                    Other real estate,                Rental and leasing services and lessors of intangible assets,        Professional and business services,"            Professional, scientific, and technical services",                Legal services,                Computer systems design and related services,"                Miscellaneous professional, scientific, and technical services",            Management of companies and enterprises,            Administrative and waste management services,                Administrative and support services,                Waste management and remediation services,"        Educational services, health care, and social assistance",            Educational services,            Health care and social assistance,                Ambulatory health care services,                Hospitals,                Nursing and residential care facilities,                Social assistance,"        Arts, entertainment, recreation, accommodation, and food services","            Arts, entertainment, and recreation","                Performing arts, spectator sports, museums, and related activities","                Amusements, gambling, and recreation industries",            Accommodation and food services,                Accommodation,                Food services and drinking places,"        Other services, except government"
2012,433,â€¦,â€¦,â€¦,0,0,0,0,0,1,136,134,0,0,0,1,4,55,3,0,68,0,3,2,1,0,0,0,0,0,0,1,94,3,0,0,0,3,6,2,0,0,3,0,0,0,0,120,1,0,117,2,1,1,0,0,1,0,0,0,0,0,0,49,48,0,4,44,1,0,0,0,22,21,1,0,1,0,0,1,1,1,0,0,0,0,0
2013,432,â€¦,â€¦,â€¦,0,0,0,0,0,1,137,134,0,0,0,2,4,53,3,0,68,0,4,2,1,0,0,0,0,0,0,1,90,4,0,0,1,3,5,2,0,0,3,0,0,0,0,123,1,0,120,2,1,1,0,0,1,0,0,0,0,0,0,50,48,0,3,46,1,1,1,0,21,21,1,0,1,0,0,1,1,1,0,0,0,0,0
2014,426,â€¦,â€¦,â€¦,0,0,0,0,0,1,133,131,0,0,0,2,4,51,3,0,68,0,3,2,1,0,0,0,0,0,0,1,87,4,0,0,1,3,5,1,0,0,3,0,0,0,0,125,1,0,122,2,0,0,0,0,0,0,0,0,0,0,0,50,48,0,3,45,1,1,1,0,21,20,1,0,1,0,0,1,1,1,0,0,0,0,0
2015,424,â€¦,â€¦,â€¦,0,0,0,0,0,1,131,130,0,0,0,2,2,52,2,0,69,0,2,1,0,0,0,0,0,0,0,0,91,4,0,0,1,4,4,1,0,0,3,0,0,0,0,118,1,0,115,2,1,1,0,0,1,0,0,0,0,0,0,51,48,0,4,45,1,2,2,0,22,21,1,0,1,0,0,1,1,1,0,0,0,0,0
2016,411,â€¦,â€¦,â€¦,0,0,0,0,0,1,128,127,0,0,0,2,2,54,3,0,65,0,2,1,0,0,0,0,0,0,0,0,91,6,0,0,1,5,4,1,0,0,3,0,0,0,0,108,1,0,105,2,1,1,0,0,1,0,0,0,0,0,0,49,45,0,4,42,1,2,2,0,21,20,1,0,1,0,0,1,1,1,0,0,0,0,0
2017,399,â€¦,â€¦,â€¦,0,0,0,0,0,2,118,117,0,0,0,2,2,49,2,0,59,0,2,1,0,0,0,0,0,0,0,0,94,5,0,0,1,4,4,1,0,0,3,0,0,0,0,106,1,0,103,2,1,1,0,0,0,0,0,0,0,0,0,47,43,0,5,39,1,2,2,0,21,20,1,0,1,0,0,1,1,1,0,0,0,0,0
2018,387,â€¦,â€¦,â€¦,0,0,0,0,0,1,116,115,0,0,0,1,2,48,3,0,58,0,2,1,0,0,0,0,0,0,0,0,93,6,0,0,1,5,5,2,0,0,3,0,0,0,0,98,1,0,95,2,0,0,0,0,0,0,0,0,0,0,0,42,40,0,4,36,1,2,2,0,24,23,1,0,1,0,0,1,1,1,0,0,0,0,0
2019,390,â€¦,â€¦,â€¦,0,0,0,0,0,2,123,122,0,0,0,1,2,51,2,0,64,0,2,1,0,0,0,0,0,0,0,0,89,7,0,0,1,6,4,1,0,0,3,0,0,0,0,93,1,0,90,2,0,0,0,0,0,0,0,0,0,0,0,42,39,0,4,36,1,2,2,0,26,25,1,0,1,0,0,1,1,1,0,0,0,0,0
2020,365,â€¦,â€¦,â€¦,0,0,0,0,0,2,112,111,0,0,0,1,2,48,2,0,57,0,2,1,0,0,0,0,0,0,0,0,87,5,0,0,1,4,5,1,0,0,3,0,0,0,0,85,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,39,37,0,4,33,1,2,2,0,30,29,0,0,0,0,0,1,1,1,0,0,0,0,0
2021,351,â€¦,â€¦,â€¦,0,0,0,0,0,2,111,110,0,0,0,1,2,48,2,0,54,0,2,1,0,0,0,0,0,0,0,0,84,6,0,0,1,5,4,1,0,0,3,0,0,0,0,75,1,0,72,2,0,0,0,0,0,0,0,0,0,0,0,40,37,0,5,33,1,2,2,0,29,28,1,0,1,0,0,1,1,1,0,0,0,0,0
2022,361,â€¦,â€¦,â€¦,0,0,0,0,0,3,104,103,0,0,0,1,3,49,2,0,46,0,2,1,0,0,0,0,0,0,0,0,88,6,0,0,1,5,6,2,0,0,4,0,0,0,0,72,1,0,69,2,1,1,0,0,1,0,0,0,0,0,0,49,46,0,5,41,1,2,2,0,33,31,2,0,2,0,0,1,1,1,0,0,0,0,0
