,Space economy1,    Private industries,"        Agriculture, forestry, fishing, and hunting",            Farms,"            Forestry, fishing, and related activities",        Mining,            Oil and gas extraction,"            Mining, except oil and gas",            Support activities for mining,        Utilities,        Construction,        Manufacturing,            Durable goods,                Wood products,                Nonmetallic mineral products,                Primary metals,                Fabricated metal products,                Machinery,                Computer and electronic products2,"                Electrical equipment, appliances, and components","                Motor vehicles, bodies and trailers, and parts",                Other transportation equipment3,                Furniture and related products,                Miscellaneous manufacturing,            Nondurable goods,                Food and beverage and tobacco products,                Textile mills and textile product mills,                Apparel and leather and allied products,                Paper products,                Printing and related support activities,                Petroleum and coal products,                Chemical products,                Plastics and rubber products,        Wholesale trade,        Retail trade,            Motor vehicle and parts dealers,            Food and beverage stores,            General merchandise stores,            Other retail,        Transportation and warehousing,            Air transportation,            Rail transportation,            Water transportation,            Truck transportation,            Transit and ground passenger transportation,            Pipeline transportation,            Other transportation and support activities,            Warehousing and storage,        Information,"            Publishing industries, except internet (includes software)",            Motion picture and sound recording industries,            Broadcasting and telecommunications4,"            Data processing, internet publishing, and other information services","        Finance, insurance, real estate, rental, and leasing",            Finance and insurance,"                Federal Reserve banks, credit intermediation, and related activities","                Securities, commodity contracts, and investments",                Insurance carriers and related activities,"                Funds, trusts, and other financial vehicles",            Real estate and rental and leasing,                Real estate,                    Housing,                    Other real estate,                Rental and leasing services and lessors of intangible assets,        Professional and business services,"            Professional, scientific, and technical services",                Legal services,                Computer systems design and related services,"                Miscellaneous professional, scientific, and technical services",            Management of companies and enterprises,            Administrative and waste management services,                Administrative and support services,                Waste management and remediation services,"        Educational services, health care, and social assistance",            Educational services,            Health care and social assistance,                Ambulatory health care services,                Hospitals,                Nursing and residential care facilities,                Social assistance,"        Arts, entertainment, recreation, accommodation, and food services","            Arts, entertainment, and recreation","                Performing arts, spectator sports, museums, and related activities","                Amusements, gambling, and recreation industries",            Accommodation and food services,                Accommodation,                Food services and drinking places,"        Other services, except government",    Government5,        Federal,            General government,                National defense,                Nondefense,            Government enterprises,        State and local,            General government,            Government enterprises,Addendum:,"Space economy excluding satellite television, satellite radio, and educational services6"
2012,182757,151467,â€¦,â€¦,â€¦,72,54,0,18,2,383,44500,43736,32,91,75,367,1239,20693,762,3,20539,25,818,829,323,21,17,24,47,62,65,224,29109,306,1,1,38,266,1690,917,3,1,729,1,0,24,4,60813,418,55,59432,906,457,456,12,5,438,1,2,0,0,0,1,11437,11201,1,708,10485,215,22,22,0,2262,2162,100,2,97,0,0,125,122,122,0,3,3,0,4,31535,28899,28896,5525,23373,3,2623,2623,0,,133452
2013,190256,159229,â€¦,â€¦,â€¦,54,40,0,14,1,350,45870,45057,16,101,75,603,1164,21587,917,3,20284,29,1068,888,428,27,22,71,40,18,18,273,32868,341,1,1,45,293,1503,750,1,1,726,0,0,16,4,63569,357,56,62175,983,276,274,11,6,257,0,2,1,0,1,1,11874,11608,1,505,11117,221,47,47,0,2205,2103,103,2,101,0,0,139,135,135,0,4,4,0,4,31098,28648,28645,5489,23158,3,2446,2446,0,,138716
2014,195919,164508,â€¦,â€¦,â€¦,68,50,0,17,1,515,46345,45578,26,103,114,438,1071,21607,945,2,21168,27,962,830,426,24,20,52,33,17,17,250,35800,349,1,1,47,300,1340,580,2,1,743,0,0,10,3,65895,322,53,64536,986,218,217,10,7,200,0,2,1,0,1,1,11779,11558,1,564,11004,151,72,71,0,2129,2043,87,2,84,0,0,151,147,146,0,4,4,0,4,31441,29047,29044,5550,23496,2,2396,2396,0,,142425
2015,205707,173324,â€¦,â€¦,â€¦,58,41,1,15,3,618,48639,48297,6,40,88,477,635,25061,790,2,21050,14,456,340,178,13,10,25,11,7,17,79,39743,431,1,1,53,376,1309,612,2,1,680,0,0,9,3,67671,538,50,65930,1149,322,319,18,8,291,0,3,2,0,1,2,12219,11934,2,667,11273,191,95,95,0,2277,2178,99,3,96,0,0,148,144,144,0,4,4,0,4,32383,29843,29841,5605,24240,2,2539,2539,0,,151425
2016,206542,173764,â€¦,â€¦,â€¦,34,24,1,9,3,653,50423,50023,6,42,62,432,655,28720,836,2,18781,12,479,400,181,20,16,28,10,12,13,119,41461,602,1,1,73,527,1341,616,4,2,691,0,1,22,4,64263,462,48,62485,1268,379,374,28,12,333,0,6,3,1,2,3,12179,11754,2,706,11050,303,122,122,0,2238,2129,109,4,104,0,0,154,151,151,0,3,3,0,5,32786,30284,30281,6055,24227,3,2502,2502,0,,156117
2017,207911,175789,â€¦,â€¦,â€¦,13,9,1,3,3,913,50217,49848,5,39,60,364,636,28613,742,2,18879,13,496,369,164,15,13,39,7,9,11,111,44876,473,0,1,65,407,1317,516,5,0,774,0,2,15,5,62747,378,57,60989,1322,312,306,28,40,238,0,7,4,1,3,3,12568,12176,2,1022,11153,252,140,140,0,2175,2063,111,4,107,0,0,170,167,167,0,3,3,0,5,32122,29730,29727,6047,23680,3,2392,2392,0,,158839
2018,205358,172479,â€¦,â€¦,â€¦,5,4,0,2,2,545,52215,51868,6,40,46,244,651,30802,773,1,18817,12,510,349,158,16,13,27,7,36,11,79,46038,554,0,1,77,475,1580,750,4,1,806,0,2,14,5,57238,284,49,55652,1252,242,236,19,9,208,0,6,3,1,3,3,11487,11167,2,840,10323,195,126,126,0,2504,2377,127,4,123,0,0,175,172,172,0,3,3,0,4,32870,30215,30212,6355,23858,3,2655,2655,0,,161805
2019,208510,172473,â€¦,â€¦,â€¦,7,4,0,2,2,1649,57984,57711,4,36,38,228,602,33152,671,1,22466,10,458,283,118,11,10,26,11,29,11,68,40826,815,1,2,102,711,1268,458,4,2,758,1,2,36,5,55479,307,57,53792,1323,200,193,18,9,166,0,7,4,1,3,3,11977,11632,2,892,10737,217,128,128,0,2672,2568,104,4,99,0,0,185,182,181,0,3,3,0,6,35989,33073,33070,6904,26166,3,2916,2916,0,,166858
2020,200271,163865,â€¦,â€¦,â€¦,3,2,0,1,2,1433,55157,54923,4,32,39,214,544,32494,554,1,20734,10,382,246,119,9,7,18,6,24,9,53,40181,528,1,1,77,448,1210,370,4,1,794,0,1,30,3,52180,306,43,50608,1224,141,132,17,10,105,0,9,6,1,5,3,10533,10239,2,918,9331,175,118,118,0,2856,2805,52,3,48,0,0,166,164,164,0,2,2,0,5,36335,33136,33133,7677,25467,3,3200,3200,0,,161437
2021,194131,156995,â€¦,â€¦,â€¦,3,2,0,1,2,832,55601,55334,9,32,35,270,643,33810,490,1,19823,9,463,274,132,10,8,25,5,20,11,64,37101,745,1,2,99,643,1150,312,5,1,794,0,1,19,4,47624,335,42,46007,1239,153,145,27,12,106,0,8,5,1,4,3,11807,11506,2,1236,10310,174,127,127,0,2889,2779,109,4,104,0,0,169,167,166,0,2,2,0,6,37076,33806,33797,8803,25019,10,3271,3271,0,,160521
